ID,Title,Highlights Supported?,Fully Optimized?,Steam Url,Publisher,Genre,Status
100182011,Watch_Dogs™,N,N,https://store.steampowered.com/app/243470,Ubisoft,"Action,Adventure,",1
18078811,We Happy Few,N,N,https://store.steampowered.com/app/320240,Compulsion Games,"Adventure,Role Playing,Action,Indie,",1
100209611,Welcome to the Game II,N,N,https://store.steampowered.com/app/720250,Reflect Studios,"Indie,Simulation,Strategy,",1
100201311,Will To Live Online,N,N,https://store.steampowered.com/app/707010,AlphaSoft LLC,"Action,Indie,Massively Multiplayer Online,Role Playing,",1
100065811,Wolfenstein® II: The New Colossus™,N,N,https://store.steampowered.com/app/612880,Bethesda Softworks,"First-Person Shooter,Action,",1
10591111,Wolfenstein®: The New Order,N,N,https://store.steampowered.com/app/201810,Bethesda Softworks,"Action,First-Person Shooter,",1
100102511,Wolfenstein®: The Old Blood™,N,N,https://store.steampowered.com/app/350080,Bethesda Softworks,"Action,First-Person Shooter,",1
100281311,Wolfenstein®: Youngblood,N,Y,,Bethesda Softworks,"Action,First-Person Shooter,",1
100333411,Wolfenstein®: Youngblood,N,Y,https://store.steampowered.com/app/1056960,Bethesda Softworks,"Action,First-Person Shooter,",1
17947111,World of Tanks,Y,Y,,Wargaming,"Action,Free To Play,Massively Multiplayer Online,",1
100131011,World of Tanks: Blitz,Y,N,https://store.steampowered.com/app/444200,Wargaming Group Limited,"Action,Free To Play,Massively Multiplayer Online,",1
100373211,World of Warcraft Classic,N,Y,,Blizzard Entertainment,"Massively Multiplayer Online,Role Playing,",1
100012811,World of Warcraft: Battle for Azeroth,N,Y,,Blizzard Entertainment,"Massively Multiplayer Online,Role Playing,",1
100248411,World of Warships,N,N,https://store.steampowered.com/app/552990,Wargaming Group Limited,"Action,Free To Play,Massively Multiplayer Online,Simulation,",1
100042411,World of Warships,N,N,,Wargaming Group Limited,"Action,Free To Play,Massively Multiplayer Online,Simulation,",1
100275511,World War 3,N,N,https://store.steampowered.com/app/674020,The Farm 51,"Action,First-Person Shooter,Indie,Massively Multiplayer Online,",1
100308111,World War Z,N,N,,Saber Interactive,"Action,Massively Multiplayer Online,",1
100227711,Worms W.M.D,N,N,https://store.steampowered.com/app/327030,Team17 Digital Ltd,"Action,Casual,Family,Strategy,",1
100227311,Wreckfest,N,N,https://store.steampowered.com/app/228380,THQ Nordic,"Action,Indie,Sports,SimulationRacing,",1
100236011,WWE 2K19,N,N,https://store.steampowered.com/app/817130,2K,"Simulation,Sports,",1
100372111,WWE 2K20,N,N,https://store.steampowered.com/app/1015500,2K,"Simulation,Sports,",1
100358111,Wytchsun: Elleros Origins,N,N,https://store.steampowered.com/app/1068530,Rampage Interactive,"Action,Adventure,Indie,Role Playing,",1
100242711,X4: Foundations,N,N,https://store.steampowered.com/app/392160,Egosoft,"Action,Simulation,",1
18078511,XCOM® 2,N,N,https://store.steampowered.com/app/268500,2K Games,"Strategy,",1
100192011,XERA: Survival,N,N,https://store.steampowered.com/app/625340,Spotted Kiwi Productions,"Action,Adventure,Massively Multiplayer Online,SimulationStrategy,",1
100235311,Yakuza 0,N,N,https://store.steampowered.com/app/638970,SEGA,"Action,Adventure,Role Playing,",1
100289911,Yakuza Kiwami,N,N,https://store.steampowered.com/app/834530,SEGA,"Action,Adventure,Role Playing,",1
100220411,Yoku's Island Express,N,N,https://store.steampowered.com/app/334940,Team17 Digital Ltd,"Adventure,Family,Indie,Platformer,",1
100068811,Yooka-Laylee,N,N,https://store.steampowered.com/app/360830,Team17 Digital Ltd,"Action,Adventure,Family,IndiePlatformer,",1
100472311,Yooka-Laylee and the Impossible Lair,N,N,https://store.steampowered.com/app/846870,Team17 Digital,"Adventure,Family,Indie,Platformer,",1
100208811,Ys VIII: Lacrimosa of DANA,N,N,https://store.steampowered.com/app/579180,"NIS America, Inc.","Action,Role Playing,Adventure,",1
100044611,Z1 Battle Royale,Y,N,https://store.steampowered.com/app/433850,Daybreak Game Company,"Action,Adventure,Free To Play,Massively Multiplayer Online,",1
